date,time,station,station_code,showalter,li,li_virtual,sweat,k_index,cross_totals,vertical_totals,tt_index,cape,cape_virtual,cin,cin_virtual,brn,brn_virtual,pwat,observed,thunderstorm,lightning,squall,rainfall,nwx,season,raw_observed_event,observation_status,source_file,source_sheet,source_trace
2023-03-22,00:00Z,Visakhapatnam,43150,0.97,-4.19,-4.74,191.21,27.3,18.7,27.7,46.4,718.06,864.17,-80.08,-52.43,59.06,71.08,39.74,TSRA,True,True,False,True,False,Pre-Monsoon,LT:0315-0545 | RA:1655-2200 | TS:1720-2300,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230322/0000
2023-03-23,00:00Z,Visakhapatnam,43150,-0.5,-2.57,-3.21,228.59,32.0,21.0,24.7,45.7,501.54,644.15,-51.47,-28.99,14.28,18.33,43.33,RA,False,False,False,True,False,Pre-Monsoon,DZ:1715-1730,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230323/0000
2023-03-24,00:00Z,Visakhapatnam,43150,-0.5,-2.97,-3.57,188.6,33.3,20.5,26.5,47.0,335.73,441.76,-117.17,-93.8,51.9,68.3,43.23,RA,False,False,False,True,False,Pre-Monsoon,DZ:1720-1725,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230324/0000
2023-03-25,00:00Z,Visakhapatnam,43150,1.41,-1.91,-2.83,183.61,29.9,18.1,25.1,43.2,709.31,887.63,-96.19,-67.87,97.45,121.95,42.0,TSRA,True,True,False,True,False,Pre-Monsoon,TS:1800-1910 | DZ:1835-2200,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230325/0000
2023-03-26,00:00Z,Visakhapatnam,43150,4.27,-0.63,-1.26,163.99,29.9,14.9,23.9,38.8,695.62,843.92,-144.3,-99.81,98.42,119.41,46.6,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230326/0000
2023-03-27,00:00Z,Visakhapatnam,43150,0.14,-2.71,-3.68,207.4,33.5,19.3,25.3,44.6,931.72,1156.93,-106.64,-77.55,0.0,0.0,43.49,TSRA,True,True,False,True,False,Pre-Monsoon,TS:1910-1950 | RA:1915-1950,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230327/0000
2023-03-28,00:00Z,Visakhapatnam,43150,1.45,-3.58,-4.72,211.98,33.6,17.5,25.5,43.0,2342.27,2621.04,-42.42,-18.81,179.58,200.96,46.93,LT,False,True,False,False,False,Pre-Monsoon,LT:1800-1835,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230328/0000
2023-03-29,00:00Z,Visakhapatnam,43150,7.03,-3.48,-4.34,92.8,24.1,9.7,26.7,36.4,1614.4,1861.35,-7.15,-3.73,182.98,210.97,42.71,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230329/0000
2023-03-30,00:00Z,Visakhapatnam,43150,3.4,-2.03,-3.0,142.18,26.3,14.7,26.7,41.4,1024.77,1237.03,-6.66,-3.14,427.99,516.64,38.05,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230330/0000
2023-03-31,00:00Z,Visakhapatnam,43150,4.28,-2.28,-3.17,221.85,19.5,13.5,27.5,41.0,654.01,850.08,-198.21,-121.14,90.27,117.33,30.41,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Mar2023,RSRW INDICES Mar - June2023.xlsx::Mar2023::230331/0000
2023-04-01,00:00Z,Visakhapatnam,43150,4.11,-3.29,-4.29,164.22,24.3,12.7,28.7,41.4,1082.65,1289.31,-8.51,-4.23,51.81,61.7,41.09,RA,False,False,False,True,False,Pre-Monsoon,DZ:1020-1030 | DZ:1510-1600,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230401/0000
2023-04-02,00:00Z,Visakhapatnam,43150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230402/0000
2023-04-03,00:00Z,Visakhapatnam,43150,5.33,0.99,0.16,166.79,26.1,13.7,22.7,36.4,998.33,1176.7,-142.79,-106.95,76.97,90.72,40.22,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230403/0000
2023-04-04,00:00Z,Visakhapatnam,43150,8.55,-1.93,-2.98,96.61,26.6,8.1,25.1,33.2,1050.84,1265.08,-125.46,-70.08,0.0,0.0,41.52,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230404/0000
2023-04-05,00:00Z,Visakhapatnam,43150,0.98,-3.26,-4.33,198.42,34.2,17.9,25.9,43.8,2130.3,2348.99,-92.96,-54.37,512.69,565.32,47.28,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230405/0000
2023-04-06,00:00Z,Visakhapatnam,43150,1.47,-4.38,-5.29,156.01,35.0,16.7,27.7,44.4,2529.94,2740.1,-176.84,-120.71,384.04,415.94,46.09,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230406/0000
2023-04-07,00:00Z,Visakhapatnam,43150,1.54,-1.79,-2.65,166.59,31.5,16.7,27.7,44.4,798.54,950.21,-245.54,-173.28,745.83,887.49,38.98,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230407/0000
2023-04-08,00:00Z,Visakhapatnam,43150,5.69,-2.93,-3.92,107.78,25.1,11.7,26.7,38.4,1928.58,2152.54,-179.43,-92.12,345.43,385.54,34.51,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230408/0000
2023-04-09,00:00Z,Visakhapatnam,43150,6.77,-0.59,-1.08,33.6,19.1,9.3,28.3,37.6,216.37,316.72,-355.65,-241.07,84.54,123.75,26.75,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230409/0000
2023-04-10,00:00Z,Visakhapatnam,43150,-1.22,-4.69,-5.57,158.78,20.3,19.9,28.9,48.8,1726.62,1954.68,-191.12,-140.26,102.32,115.83,37.06,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230410/0000
2023-04-11,00:00Z,Visakhapatnam,43150,3.26,-0.57,-1.32,120.18,29.7,14.1,28.1,42.2,468.43,598.82,-284.71,-216.65,76.23,97.45,36.92,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230411/0000
2023-04-12,00:00Z,Visakhapatnam,43150,-2.72,-4.69,-5.68,203.18,40.4,21.1,29.1,50.2,2123.3,2330.67,-216.92,-173.1,338.37,371.41,47.4,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230412/0000
2023-04-13,00:00Z,Visakhapatnam,43150,0.9,-2.14,-2.91,135.0,35.9,16.1,30.1,46.2,808.53,955.08,-348.16,-274.93,36.07,42.61,35.87,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230413/0000
2023-04-14,00:00Z,Visakhapatnam,43150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230414/0000
2023-04-15,00:00Z,Visakhapatnam,43150,-0.86,-3.08,-3.96,167.21,36.5,17.9,30.9,48.8,1165.43,1329.86,-376.79,-312.59,298.17,340.24,42.03,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230415/0000
2023-04-16,00:00Z,Visakhapatnam,43150,-2.67,-4.16,-5.15,219.38,40.8,20.3,30.3,50.6,2173.85,2376.6,-261.59,-215.39,252.8,276.37,43.01,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230416/0000
2023-04-17,00:00Z,Visakhapatnam,43150,2.0,-4.0,-4.89,96.81,31.7,13.3,32.3,45.6,1603.27,1776.73,-345.77,-262.64,119.53,132.46,35.78,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230417/0000
2023-04-18,00:00Z,Visakhapatnam,43150,-1.06,3.89,3.37,156.18,35.7,18.1,31.1,49.2,0.0,0.0,0.0,0.0,0.0,0.0,28.63,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230418/0000
2023-04-19,00:00Z,Visakhapatnam,43150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230419/0000
2023-04-20,00:00Z,Visakhapatnam,43150,-3.5,-5.43,-6.26,262.41,35.7,19.5,35.5,55.0,1176.77,1304.86,-506.63,-425.47,93.79,104.0,37.41,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230420/0000
2023-04-21,00:00Z,Visakhapatnam,43150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230421/0000
2023-04-22,00:00Z,Visakhapatnam,43150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TSRA,True,True,False,True,False,Pre-Monsoon,TS:1545-1800 | RA:1700-1800,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230422/0000
2023-04-23,00:00Z,Visakhapatnam,43150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RA,False,False,False,True,False,Pre-Monsoon,DZ:0640-0650,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230423/0000
2023-04-24,00:00Z,Visakhapatnam,43150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230424/0000
2023-04-25,00:00Z,Visakhapatnam,43150,-1.93,-5.19,-6.15,228.8,24.8,22.2,24.9,47.1,2352.73,2608.94,-10.85,-4.48,1402.62,1555.37,45.36,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230425/0000
2023-04-26,00:00Z,Visakhapatnam,43150,0.84,-4.2,-4.96,169.8,30.1,17.7,27.7,45.4,1634.42,1798.66,-164.05,-89.02,285.63,314.33,44.05,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230426/0000
2023-04-27,00:00Z,Visakhapatnam,43150,2.4,-5.8,-6.71,146.18,29.3,15.7,27.7,43.4,2744.96,2979.86,-120.76,-51.3,985.81,1070.17,44.67,TS,True,True,False,False,False,Pre-Monsoon,TS:1515-1900,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230427/0000
2023-04-28,00:00Z,Visakhapatnam,43150,3.09,-3.24,-3.79,95.59,26.7,13.9,29.9,43.8,573.93,665.51,-349.75,-256.82,140.75,163.21,38.24,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230428/0000
2023-04-29,00:00Z,Visakhapatnam,43150,5.3,-6.02,-6.9,51.8,16.5,10.1,30.1,40.2,1531.43,1743.29,-192.59,-99.13,929.23,1057.78,36.19,TS,True,True,False,False,False,Pre-Monsoon,TS:1400-1500,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230429/0000
2023-04-30,00:00Z,Visakhapatnam,43150,3.02,-2.02,-2.52,133.0,19.5,14.5,28.5,43.0,370.44,475.38,-309.58,-207.33,84.23,108.1,35.82,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,Apr2023,RSRW INDICES Mar - June2023.xlsx::Apr2023::230430/0000
2023-05-01,00:00Z,Visakhapatnam,43150,2.84,-7.3,-8.01,160.57,34.07,16.09,26.55,42.64,2961.16,3246.63,-0.81,0.0,112.8,123.68,51.62,TSRA,True,True,False,True,False,Pre-Monsoon,TS:0725-1200 | RA:0740-1435,VERIFIED,RSRW INDICES Mar - June2023.xlsx,May2023,RSRW INDICES Mar - June2023.xlsx::May2023::230501/0000
2023-05-02,00:00Z,Visakhapatnam,43150,0.75,-1.04,-1.57,343.17,32.9,19.5,24.5,44.0,185.15,272.58,-183.77,-137.74,13.68,20.14,44.59,RA,False,False,False,True,False,Pre-Monsoon,DZ:1850-1905,VERIFIED,RSRW INDICES Mar - June2023.xlsx,May2023,RSRW INDICES Mar - June2023.xlsx::May2023::230502/0000
2023-05-03,00:00Z,Visakhapatnam,43150,-0.63,-2.9,-3.14,227.2,35.2,20.6,24.7,45.3,552.96,652.47,-75.07,-48.84,23.07,27.23,58.42,TSRA,True,True,False,True,False,Pre-Monsoon,DZ:0510-0530 | DZ:1220-1700 | TS:1315-1350,VERIFIED,RSRW INDICES Mar - June2023.xlsx,May2023,RSRW INDICES Mar - June2023.xlsx::May2023::230503/0000
2023-05-04,00:00Z,Visakhapatnam,43150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RA,False,False,False,True,False,Pre-Monsoon,DZ:2200-0010,VERIFIED,RSRW INDICES Mar - June2023.xlsx,May2023,RSRW INDICES Mar - June2023.xlsx::May2023::230504/0000
2023-05-05,00:00Z,Visakhapatnam,43150,-0.53,-2.94,-3.2,197.78,35.5,19.9,25.9,45.8,425.74,504.63,-134.74,-98.78,908.61,1076.98,57.64,TSRA,True,True,False,True,False,Pre-Monsoon,DZ:0415-0535 | TS:1700-1900,VERIFIED,RSRW INDICES Mar - June2023.xlsx,May2023,RSRW INDICES Mar - June2023.xlsx::May2023::230505/0000
2023-05-06,00:00Z,Visakhapatnam,43150,-1.07,-4.82,-5.28,190.18,35.5,19.9,26.9,46.8,1654.32,1806.99,-99.77,-61.91,1449.21,1582.96,58.81,LT,False,True,False,False,False,Pre-Monsoon,LT:1900-1930,VERIFIED,RSRW INDICES Mar - June2023.xlsx,May2023,RSRW INDICES Mar - June2023.xlsx::May2023::230506/0000
2023-05-07,00:00Z,Visakhapatnam,43150,-0.18,-2.83,-3.05,191.4,37.5,18.7,26.7,45.4,955.28,1026.9,-172.54,-134.75,1740.63,1871.14,62.24,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,May2023,RSRW INDICES Mar - June2023.xlsx::May2023::230507/0000
2023-05-08,00:00Z,Visakhapatnam,43150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,May2023,RSRW INDICES Mar - June2023.xlsx::May2023::230508/0000
2023-05-09,00:00Z,Visakhapatnam,43150,7.77,-6.95,-7.66,15.0,18.9,5.1,30.1,35.2,3210.57,3480.4,-181.21,-81.96,212.7,230.57,44.8,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,May2023,RSRW INDICES Mar - June2023.xlsx::May2023::230509/0000
2023-05-10,00:00Z,Visakhapatnam,43150,2.74,-8.71,-9.48,97.59,28.3,13.5,30.5,44.0,3537.87,3824.56,-109.85,-34.38,585.66,633.12,49.66,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,May2023,RSRW INDICES Mar - June2023.xlsx::May2023::230510/0000
2023-05-11,00:00Z,Visakhapatnam,43150,-0.91,-2.54,-3.79,238.01,35.7,19.7,24.7,44.4,1589.57,1839.2,-174.71,-102.24,168.68,195.17,44.03,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,May2023,RSRW INDICES Mar - June2023.xlsx::May2023::230511/0000
2023-05-12,00:00Z,Visakhapatnam,43150,1.01,-2.01,-3.23,227.62,30.1,17.3,25.3,42.6,857.75,1150.95,-192.94,-118.39,46.23,62.03,35.6,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,May2023,RSRW INDICES Mar - June2023.xlsx::May2023::230512/0000
2023-05-13,00:00Z,Visakhapatnam,43150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NWX,False,False,False,False,True,Pre-Monsoon,NWX,VERIFIED,RSRW INDICES Mar - June2023.xlsx,May2023,RSRW INDICES Mar - June2023.xlsx::May2023::230513/0000
