station,cape,lifted_index,sweat_index,k_index,pwat,storm_probability,forecast,created_at
Visakhapatnam,2234.51,-4.83,243.8,33.3,64.25,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:10:50.768807
Kolkata,1951.61,-5.19,220.0,32.3,56.97,99,SEVERE THUNDERSTORM RISK,2026-05-22 17:10:56.609947
Chennai,1134.27,-2.91,244.01,38.5,71.16,69,HIGH THUNDERSTORM RISK,2026-05-22 17:18:29.706804
Chennai,1134.27,-2.91,244.01,38.5,71.16,69,HIGH THUNDERSTORM RISK,2026-05-22 17:18:29.714172
Chennai,1134.27,-2.91,244.01,38.5,71.16,69,HIGH THUNDERSTORM RISK,2026-05-22 17:18:29.743097
Hyderabad,1305.32,-3.59,250.98,42.5,62.35,80,SEVERE THUNDERSTORM RISK,2026-05-22 17:18:35.076752
Hyderabad,1305.32,-3.59,250.98,42.5,62.35,80,SEVERE THUNDERSTORM RISK,2026-05-22 17:18:36.064299
Hyderabad,1305.32,-3.59,250.98,42.5,62.35,80,SEVERE THUNDERSTORM RISK,2026-05-22 17:18:36.176864
Bhubaneswar,2446.04,-6.81,194.58,27.7,53.33,67,HIGH THUNDERSTORM RISK,2026-05-22 17:18:38.263820
Bhubaneswar,2446.04,-6.81,194.58,27.7,53.33,67,HIGH THUNDERSTORM RISK,2026-05-22 17:18:39.850003
Bhubaneswar,2446.04,-6.81,194.58,27.7,53.33,67,HIGH THUNDERSTORM RISK,2026-05-22 17:18:39.903626
Bhubaneswar,2446.04,-6.81,194.58,27.7,53.33,67,HIGH THUNDERSTORM RISK,2026-05-22 17:18:40.110569
Visakhapatnam,2234.51,-4.83,243.8,33.3,64.25,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:19:51.176877
Chennai,1134.27,-2.91,244.01,38.5,71.16,69,HIGH THUNDERSTORM RISK,2026-05-22 17:19:54.083947
Kolkata,1951.61,-5.19,220.0,32.3,56.97,99,SEVERE THUNDERSTORM RISK,2026-05-22 17:19:57.272292
Hyderabad,1305.32,-3.59,250.98,42.5,62.35,80,SEVERE THUNDERSTORM RISK,2026-05-22 17:20:00.151583
Bhubaneswar,2446.04,-6.81,194.58,27.7,53.33,67,HIGH THUNDERSTORM RISK,2026-05-22 17:20:03.222889
Visakhapatnam,2234.51,-4.83,243.8,33.3,64.25,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:23:33.905993
Kolkata,1951.61,-5.19,220.0,32.3,56.97,99,SEVERE THUNDERSTORM RISK,2026-05-22 17:23:40.579060
Bhubaneswar,2446.04,-6.81,194.58,27.7,53.33,67,HIGH THUNDERSTORM RISK,2026-05-22 17:23:47.024634
Visakhapatnam,2234.51,-4.83,243.8,33.3,64.25,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:24:59.730007
Chennai,1134.27,-2.91,244.01,38.5,71.16,69,HIGH THUNDERSTORM RISK,2026-05-22 17:25:03.349951
Visakhapatnam,1497.762613563409,-4.004971173303685,293.78474720953886,29.098163905481726,67.04032733612632,89,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:31.151224
Visakhapatnam,2354.850122747393,-6.4270029159923485,272.91188354542646,36.39586287642931,50.595594839488534,98,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:31.153657
Visakhapatnam,1835.2667362173383,-1.4114724061214883,172.52893726432922,34.109705153619565,37.78511198905983,47,MODERATE THUNDERSTORM RISK,2026-05-22 17:34:31.155691
Visakhapatnam,2728.2361680456056,-3.436567764788074,333.0652539445101,41.34597259639838,47.12323370422702,80,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:31.156406
Visakhapatnam,1515.2279162113891,-7.0220589823086526,384.42552817836076,37.599519139717664,71.51519983310399,98,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:31.163051
Chennai,1028.4226049164115,-3.1708795592448737,195.03909377079995,44.02470109791183,66.78491891356018,60,HIGH THUNDERSTORM RISK,2026-05-22 17:34:34.949652
Chennai,1042.8131763591427,-6.260257510768936,166.65820796045801,26.071820126129076,62.83896594643911,42,MODERATE THUNDERSTORM RISK,2026-05-22 17:34:34.976474
Chennai,1318.622092404952,-7.280380104084182,299.85449268804297,34.38431248727797,75.23279221267676,82,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:35.046076
Chennai,2895.6027947732764,-5.795297523472641,353.54989713793,43.42578552665404,65.7256251184308,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:35.514339
Chennai,1133.602445389693,-2.4244732214702545,284.876292833219,40.59692331402091,75.11070260637234,62,HIGH THUNDERSTORM RISK,2026-05-22 17:34:35.520174
Visakhapatnam,1262.2461193117265,-4.133985937455254,258.4328940693354,25.02340169829921,66.98277003935345,59,MODERATE THUNDERSTORM RISK,2026-05-22 17:34:37.080156
Kolkata,1539.0606892863589,-3.6300294515750506,192.5205257019565,25.673611013651367,74.68487243024761,60,HIGH THUNDERSTORM RISK,2026-05-22 17:34:38.243840
Kolkata,2292.8460457682677,-1.5608604684588396,197.52689980980395,31.62185810043944,63.38022673243511,68,HIGH THUNDERSTORM RISK,2026-05-22 17:34:38.432181
Kolkata,1778.7576705150443,-2.78825511513073,249.82217217415734,39.59694560285371,71.95649176499779,91,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:38.971350
Kolkata,2362.6942452019075,-2.528939688371074,241.32081308572924,44.592749366077655,47.10332473024458,75,HIGH THUNDERSTORM RISK,2026-05-22 17:34:39.049768
Visakhapatnam,1642.2350377668085,-4.479618172549527,186.35879576016325,35.73523391062936,62.94956234474987,84,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:39.110052
Kolkata,1730.998504445772,-2.2418740736871676,255.65739418121566,35.48658321505741,48.05996320694966,79,HIGH THUNDERSTORM RISK,2026-05-22 17:34:39.154861
Chennai,1550.7533349793189,-7.818292810936286,340.4078774876947,41.805808237900514,60.05294575743491,99,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:40.116188
Hyderabad,1305.32,-3.59,250.98,42.5,62.35,80,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:41.610942
Hyderabad,2803.38028386431,-3.2374777136959567,367.6934998094784,29.37133089818262,63.47920271636883,91,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:41.920920
Hyderabad,1137.181077597904,-3.9640977461665257,365.4876145686804,39.47807778283284,55.4083801558168,76,HIGH THUNDERSTORM RISK,2026-05-22 17:34:42.702281
Chennai,2072.420800106754,-5.222657631770124,343.3309781343779,33.48252819199334,61.18144922561403,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:42.776839
Hyderabad,2604.2510078148953,-2.0825886329761447,283.1885601808695,25.660753582469606,45.59211690105923,46,MODERATE THUNDERSTORM RISK,2026-05-22 17:34:42.924235
Hyderabad,1305.32,-3.59,250.98,42.5,62.35,80,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:42.989924
Kolkata,2496.1330404789865,-4.689405947213145,242.17572222431676,25.803015260236865,54.96446967250519,78,HIGH THUNDERSTORM RISK,2026-05-22 17:34:43.234431
Bhubaneswar,2260.41961200886,-3.2209438780755963,175.86996729070538,38.834987595544746,75.82344439184948,82,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:44.489342
Bhubaneswar,2446.04,-6.81,194.58,27.7,53.33,67,HIGH THUNDERSTORM RISK,2026-05-22 17:34:44.788603
Kolkata,1270.5840745903954,-6.947198129762722,364.6196245287691,36.28906527721233,33.30517321527306,61,HIGH THUNDERSTORM RISK,2026-05-22 17:34:46.145080
Bhubaneswar,2195.631125964823,-3.8582649865708945,333.74495609485257,36.633187892448156,39.169691132032604,77,HIGH THUNDERSTORM RISK,2026-05-22 17:34:46.217128
Bhubaneswar,1483.5120915950245,-7.020550001948469,364.28521522555286,32.017132627937606,68.51598914243175,95,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:46.387737
Bhubaneswar,1995.8244534049168,-6.05590296229286,252.12479545033239,37.10147336371037,74.26697099579351,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:46.673038
Hyderabad,1328.6762461172316,-5.87430229889848,172.26699407461635,44.88690968911966,75.0658150141537,68,HIGH THUNDERSTORM RISK,2026-05-22 17:34:46.762166
Hyderabad,1085.5517920405296,-7.683198675591467,354.59435391237287,41.01630269500191,33.72770601855542,56,MODERATE THUNDERSTORM RISK,2026-05-22 17:34:48.739449
Bhubaneswar,1779.069614457932,-5.462495448004239,291.61764410835315,44.37493812580397,75.41535220834818,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:34:49.156061
Bhubaneswar,2446.04,-6.81,194.58,27.7,53.33,67,HIGH THUNDERSTORM RISK,2026-05-22 17:34:51.474635
Visakhapatnam,2394.83,-1.6,406.23,40.58,59.23,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:39:05.967709
Visakhapatnam,1662.39,-7.08,393.82,44.68,37.53,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:39:05.969691
Chennai,1628.14,-6.4,342.77,25.54,37.09,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:39:06.012954
Chennai,1483.86,-8.55,400.48,40.11,54.77,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:39:06.015237
Kolkata,1416.13,-3.39,309.68,26.66,69.53,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:39:06.056396
Kolkata,1775.71,-3.83,226.23,42.5,56.7,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:39:06.063363
Hyderabad,2617.87,-1.61,368.79,41.31,48.24,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:39:06.100068
Hyderabad,2266.46,-4.22,186.74,42.1,74.16,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:39:06.113853
Bhubaneswar,3390.98,-2.0,248.41,36.27,62.36,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:39:06.129961
Bhubaneswar,2142.81,-2.81,206.79,35.84,44.8,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:39:06.147194
Visakhapatnam,2855.96,-3.11,391.32,44.68,75.52,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:39:59.522439
Chennai,2563.65,-8.8,340.12,31.6,38.16,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:39:59.548324
Kolkata,2101.81,-8.36,226.1,37.0,40.07,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:39:59.569291
Hyderabad,1899.14,-3.43,228.05,42.5,35.72,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:39:59.590855
Bhubaneswar,1625.98,-5.59,318.87,35.93,52.1,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:39:59.610946
Visakhapatnam,1315.41,-8.37,364.76,36.33,36.95,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:44:06.192160
Chennai,2050.35,-2.09,368.74,25.52,78.32,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:44:06.229867
Kolkata,1368.49,-8.46,367.37,29.62,36.93,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:44:06.258521
Hyderabad,2161.16,-3.66,391.22,35.67,53.73,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:44:06.279534
Bhubaneswar,1463.23,-3.97,208.51,43.6,35.64,94,SEVERE THUNDERSTORM RISK,2026-05-22 17:44:06.310772
Visakhapatnam,2986.5,-3.64,280.02,43.28,65.55,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:45:37.449475
Chennai,2435.86,-8.84,314.65,37.78,66.59,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:45:37.485570
Kolkata,2232.06,-2.12,299.2,27.26,63.38,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:45:37.513993
Hyderabad,1965.37,-8.2,266.23,36.35,75.7,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:45:37.536245
Bhubaneswar,1399.82,-5.42,298.21,25.71,66.48,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:45:37.584186
Visakhapatnam,2853.63,-2.79,263.85,43.53,56.8,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:49:06.257581
Chennai,1758.71,-7.81,222.91,34.8,45.21,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:49:06.299234
Kolkata,2343.0,-1.7,238.29,26.92,62.46,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:49:06.323923
Hyderabad,2273.88,-6.82,199.02,44.01,78.69,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:49:06.347744
Bhubaneswar,3166.12,-5.72,313.63,44.07,52.92,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:49:06.372486
Visakhapatnam,3463.98,-2.21,397.1,25.33,75.81,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:50:37.818385
Chennai,1979.72,-4.68,260.57,27.6,56.53,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:50:37.839385
Kolkata,3226.25,-2.31,405.61,36.24,39.78,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:50:37.859638
Hyderabad,2324.08,-5.23,313.62,35.69,73.29,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:50:37.877789
Bhubaneswar,3450.89,-7.22,305.15,28.79,73.71,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:50:37.896665
Visakhapatnam,3337.23,-3.76,390.96,32.0,35.74,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:54:08.747208
Chennai,2381.25,-1.62,343.13,41.51,58.39,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:54:08.774862
Kolkata,1841.07,-2.86,303.84,32.64,48.68,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:54:08.793769
Hyderabad,2550.48,-3.95,306.77,44.91,66.6,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:54:08.814638
Bhubaneswar,1386.0,-4.2,324.58,31.11,71.66,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:54:08.836768
Visakhapatnam,3205.22,-3.93,368.88,32.1,62.13,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:55:38.543255
Chennai,2203.86,-3.04,337.7,25.95,40.44,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:55:38.574006
Kolkata,1725.08,-3.76,209.55,37.91,45.67,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:55:38.596397
Hyderabad,2853.9,-1.28,320.4,29.84,40.97,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:55:38.618262
Bhubaneswar,2631.93,-8.48,333.27,38.46,50.48,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:55:38.640573
Visakhapatnam,2144.62,-4.46,300.37,41.01,61.92,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:59:09.105445
Chennai,2318.89,-3.28,222.4,30.41,70.54,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:59:09.127574
Kolkata,1430.83,-5.34,308.13,41.17,77.11,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:59:09.146265
Hyderabad,2329.04,-7.78,291.13,29.29,68.93,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:59:09.164022
Bhubaneswar,1533.75,-5.73,319.18,26.33,64.35,100,SEVERE THUNDERSTORM RISK,2026-05-22 17:59:09.187583
Visakhapatnam,2302.37,-7.22,310.83,33.64,36.86,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:00:40.497695
Chennai,2242.68,-6.91,280.14,30.98,78.84,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:00:40.512158
Kolkata,2915.67,-3.23,413.19,44.39,65.97,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:00:40.526471
Hyderabad,2668.16,-8.5,232.67,27.44,41.38,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:00:40.540193
Bhubaneswar,3056.45,-8.13,313.01,28.12,73.89,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:00:40.555159
Visakhapatnam,1285.45,-8.81,354.26,31.4,71.16,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:04:10.986809
Chennai,2905.08,-2.33,252.47,25.14,79.37,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:04:11.011595
Kolkata,2486.28,-1.08,315.45,28.37,50.09,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:04:11.034784
Hyderabad,3194.46,-6.36,375.87,30.48,35.51,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:04:11.055685
Bhubaneswar,2467.76,-2.32,192.88,30.69,53.06,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:04:11.074358
Visakhapatnam,1945.14,-1.62,360.23,32.48,43.88,94,SEVERE THUNDERSTORM RISK,2026-05-22 18:05:40.905710
Chennai,3137.87,-7.18,352.17,44.19,39.44,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:05:40.928240
Kolkata,2822.43,-3.75,376.61,37.68,46.86,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:05:40.950721
Hyderabad,1536.06,-8.94,400.4,44.43,42.49,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:05:40.973268
Bhubaneswar,3463.04,-7.58,358.18,31.12,35.06,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:05:40.997530
Visakhapatnam,1408.43,-6.14,388.58,32.27,57.6,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:07:14.621814
Chennai,1220.38,-5.72,340.0,37.6,37.05,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:07:14.663279
Visakhapatnam,2127.67,-5.31,304.3,40.44,54.15,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:07:14.688815
Kolkata,3482.51,-2.0,374.27,38.53,69.21,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:07:14.692172
Chennai,3408.59,-3.61,191.05,27.8,37.1,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:07:14.708805
Hyderabad,1219.15,-7.87,252.53,30.17,65.57,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:07:14.709300
Kolkata,2190.42,-4.81,394.35,37.24,62.66,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:07:14.729232
Bhubaneswar,2220.97,-3.29,411.77,26.01,53.74,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:07:14.733993
Hyderabad,1347.23,-2.76,235.44,34.65,79.23,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:07:14.749560
Bhubaneswar,2552.17,-1.95,202.78,39.56,44.03,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:07:14.765358
Visakhapatnam,1673.97,-6.11,220.39,30.29,70.63,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:08:45.756439
Chennai,2324.05,-2.48,382.33,37.5,67.6,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:08:45.782257
Kolkata,3257.16,-8.09,415.92,36.09,65.05,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:08:45.801450
Hyderabad,2845.15,-2.91,405.79,37.58,66.54,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:08:45.821909
Bhubaneswar,3266.36,-5.01,239.09,34.13,58.02,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:08:45.842302
Visakhapatnam,2646.43,-2.97,347.99,25.22,64.66,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:09:11.101393
Chennai,3028.14,-1.88,253.51,26.18,52.17,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:09:11.130229
Kolkata,2779.28,-5.96,290.98,40.08,79.29,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:09:11.156891
Hyderabad,2983.32,-8.9,374.01,39.32,62.09,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:09:11.178636
Bhubaneswar,2917.48,-1.15,185.3,28.91,72.27,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:09:11.206245
Visakhapatnam,3024.85,-3.41,363.72,40.08,59.48,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:10:43.627860
Chennai,2046.63,-3.72,190.08,38.79,47.76,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:10:43.648253
Kolkata,2003.45,-4.21,255.67,36.71,73.87,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:10:43.668474
Hyderabad,1607.72,-6.07,369.23,38.68,65.62,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:10:43.687679
Bhubaneswar,1999.08,-6.07,229.83,26.26,47.7,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:10:43.706053
Visakhapatnam,1223.38,-4.62,372.44,26.49,66.64,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:13:48.514859
Chennai,1543.61,-8.8,273.93,29.98,69.81,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:13:48.544294
Kolkata,3096.86,-1.29,325.58,31.51,54.74,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:13:48.567616
Hyderabad,3146.63,-3.42,399.63,27.21,72.72,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:13:48.587292
Bhubaneswar,2523.05,-1.85,280.29,33.24,38.6,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:13:48.609055
Visakhapatnam,2567.03,-2.96,316.37,27.92,47.9,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:14:11.325921
Chennai,1382.38,-2.43,382.52,25.85,76.81,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:14:11.343085
Kolkata,1341.96,-8.12,413.19,30.25,51.06,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:14:11.360253
Hyderabad,1806.66,-8.06,376.82,42.37,60.7,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:14:11.377674
Bhubaneswar,2170.83,-2.62,253.12,44.74,65.86,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:14:11.394471
Visakhapatnam,1224.72,-4.11,243.03,26.02,54.48,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:15:26.927022
Chennai,3068.36,-2.29,243.12,29.61,70.62,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:15:26.946852
Kolkata,3241.81,-3.15,384.92,27.42,54.67,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:15:26.965820
Hyderabad,2112.99,-2.01,342.47,36.47,40.54,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:15:26.982670
Bhubaneswar,1830.62,-7.74,409.95,31.44,42.23,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:15:26.999442
Visakhapatnam,2327.43,-1.94,387.26,32.65,77.82,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:15:27.085934
Chennai,1519.75,-4.16,184.54,41.37,72.41,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:15:27.100411
Kolkata,2999.03,-5.18,392.74,39.52,46.68,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:15:27.114807
Hyderabad,2833.73,-7.37,282.33,29.51,60.11,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:15:27.129185
Bhubaneswar,2321.52,-1.79,378.1,40.93,63.1,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:15:27.143931
Visakhapatnam,2051.19,-5.05,322.41,32.18,48.26,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:15:43.598604
Chennai,2049.11,-6.47,327.93,33.78,47.81,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:15:43.613569
Kolkata,2648.25,-8.79,370.44,27.31,58.73,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:15:43.627553
Hyderabad,2143.55,-6.03,299.12,38.28,68.7,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:15:43.639021
Bhubaneswar,3118.92,-8.46,309.74,38.96,67.09,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:15:43.650569
Visakhapatnam,2362.18,-4.24,404.25,30.77,42.09,100,SEVERE THUNDERSTORM RISK,2026-05-22 18:18:52.873225
